Yield_ID,Crop_ID,Date_ID,Area_Hectares,Yield_kg,Fertilizer_Used,Rainfall_mm
Y00001,C007,20230817,2.78,1887.1,116.6,246.8
Y00002,C008,20230405,2.05,4230.1,183.1,201.1
Y00003,C008,20220605,4.27,4144.8,60.2,109.2
Y00004,C001,20210319,2.35,1256.0,139.3,159.1
Y00005,C005,20241027,3.43,1759.2,229.6,171.1
Y00006,C001,20231123,2.16,3281.8,170.8,275.1
Y00007,C007,20210604,1.16,660.0,221.7,224.9
Y00008,C002,20210317,2.32,4354.0,141.9,175.2
Y00009,C007,20240717,3.47,2974.1,173.7,211.9
Y00010,C003,20221007,4.67,3057.3,229.1,59.7
Y00011,C008,20240728,3.79,1476.6,103.7,203.1
Y00012,C007,20200315,4.54,1715.8,195.9,183.7
Y00013,C004,20240408,3.66,3229.5,274.1,268.1
Y00014,C004,20231003,4.47,4175.6,234.8,152.2
Y00015,C006,20240408,4.33,3835.4,184.4,189.8
Y00016,C001,20211025,1.08,4259.3,87.7,260.9
Y00017,C007,20200529,1.21,603.7,156.1,107.7
Y00018,C007,20201031,4.56,3384.4,72.4,51.9
Y00019,C002,20220816,1.56,1196.7,87.6,235.7
Y00020,C002,20221126,2.17,4197.9,94.7,275.2
Y00021,C004,20220715,1.89,4427.5,166.7,259.2
Y00022,C007,20201124,2.09,2237.7,291.5,215.1
Y00023,C001,20221107,2.54,3145.6,208.9,207.4
Y00024,C002,20240924,4.12,3565.5,294.1,139.5
Y00025,C005,20200928,4.08,3161.0,145.5,201.5
Y00026,C001,20240710,1.37,3470.6,178.1,61.6
Y00027,C008,20201202,3.57,4744.5,281.7,187.8
Y00028,C005,20210109,4.17,3197.8,62.2,249.6
Y00029,C004,20231101,4.92,709.6,170.8,109.5
Y00030,C007,20200825,1.43,1897.3,131.8,112.4
Y00031,C007,20200514,4.33,3027.0,100.5,232.1
Y00032,C006,20230131,4.15,1555.1,284.3,236.4
Y00033,C006,20241017,4.68,3404.3,58.6,229.2
Y00034,C005,20200204,4.41,4625.5,300.0,234.3
Y00035,C006,20211110,3.3,4896.6,161.3,275.2
Y00036,C002,20221204,3.64,1295.2,107.4,136.3
Y00037,C003,20240611,3.32,3346.5,135.7,169.8
Y00038,C007,20220524,2.55,4632.7,82.8,145.8
Y00039,C002,20200326,4.43,2628.8,64.4,229.1
Y00040,C004,20211117,2.94,2330.6,264.2,127.0
Y00041,C004,20241205,4.57,4379.0,159.9,213.6
Y00042,C006,20230908,1.38,3767.5,204.6,168.1
Y00043,C006,20240530,1.22,2660.1,194.1,72.3
Y00044,C007,20231106,3.96,3308.2,228.0,185.4
Y00045,C002,20200623,4.62,4554.2,210.1,95.4
Y00046,C006,20211127,3.56,577.9,246.4,261.9
Y00047,C002,20241214,4.31,4746.5,226.2,254.0
Y00048,C002,20240323,1.84,4056.1,187.4,187.4
Y00049,C004,20220511,3.87,1428.7,126.9,125.2
Y00050,C006,20200416,4.54,1357.4,178.5,103.5
Y00051,C008,20240518,4.15,4931.7,71.6,148.9
Y00052,C004,20231208,2.82,3631.2,90.9,151.0
Y00053,C008,20220107,4.33,4427.9,121.7,192.1
Y00054,C004,20220122,2.46,1074.1,131.2,86.3
Y00055,C006,20210704,4.94,2824.0,177.5,50.1
Y00056,C007,20220119,2.69,3740.1,186.5,253.8
Y00057,C005,20200619,1.54,3715.0,252.0,168.1
Y00058,C005,20220104,4.73,2976.5,74.6,61.1
Y00059,C007,20200110,2.03,4779.2,265.7,174.3
