Investment_ID,Tree_ID,Date_ID,Maintenance_Cost,Growth_cm,Carbon_Credits
I00001,T003,20220223,722.22,39.6,2108.3
I00002,T003,20241030,2901.79,84.1,2139.73
I00003,T002,20230303,2326.26,37.9,1275.82
I00004,T005,20230103,895.36,97.4,1044.91
I00005,T005,20210517,861.79,40.2,1171.41
I00006,T004,20220219,675.86,42.8,705.31
I00007,T001,20200512,2263.25,48.0,1675.31
I00008,T005,20240829,2636.97,19.6,1395.26
I00009,T001,20241219,1789.97,54.9,1916.01
I00010,T004,20221111,1699.99,20.1,1299.63
I00011,T005,20200620,1368.47,38.6,1561.19
I00012,T001,20201227,937.86,94.6,1679.52
I00013,T005,20230728,2920.23,70.4,1744.21
I00014,T002,20241125,1359.18,37.3,1882.31
I00015,T002,20220911,971.8,83.5,906.84
I00016,T005,20220113,2275.56,42.9,1396.31
I00017,T004,20220718,2938.54,53.0,1087.76
I00018,T001,20230629,1248.62,44.7,1802.95
I00019,T001,20200122,2169.32,13.8,1534.52
I00020,T004,20201002,2167.88,51.5,536.95
I00021,T001,20210105,1546.84,63.0,1108.43
I00022,T004,20200414,2117.12,36.7,1714.84
I00023,T001,20210722,2381.12,96.8,665.84
I00024,T001,20240125,745.25,81.7,2383.95
I00025,T003,20201105,2855.18,26.6,1668.51
I00026,T001,20210918,1798.23,95.3,2436.68
I00027,T003,20220420,1113.75,59.9,1996.33
I00028,T003,20231102,2411.59,96.6,1782.51
I00029,T002,20240521,1297.6,99.5,2393.54
I00030,T004,20231209,1353.07,15.8,2339.62
I00031,T005,20230116,1697.27,82.2,717.15
I00032,T003,20210208,1169.13,46.9,2439.55
I00033,T004,20220723,2691.98,48.2,1266.46
I00034,T005,20200602,1792.3,96.3,2374.88
I00035,T004,20231229,1580.58,98.3,1689.73
I00036,T003,20240316,1183.78,20.6,977.7
I00037,T001,20210703,2609.58,27.1,2480.22
I00038,T001,20210506,1670.96,52.8,683.9
I00039,T002,20240506,2953.48,12.5,2458.16
I00040,T003,20200430,2272.93,89.3,2343.63
I00041,T004,20230922,855.99,29.4,1610.61
I00042,T004,20220324,699.47,99.2,518.02
I00043,T001,20230217,1315.69,44.9,811.84
I00044,T005,20200708,2845.44,67.1,993.56
I00045,T005,20200927,2228.88,93.1,2292.78
I00046,T003,20231018,1884.16,19.1,1039.47
I00047,T002,20210224,2259.48,43.8,2232.31
I00048,T002,20231010,2995.38,13.6,1256.59
I00049,T002,20220122,651.17,31.8,1813.52
I00050,T002,20210807,1707.51,67.2,995.57
I00051,T003,20240313,2842.8,78.6,2304.15
I00052,T004,20200820,684.9,78.5,1348.09
I00053,T002,20241021,2918.35,75.8,1279.82
I00054,T001,20240624,2982.87,12.3,763.55
I00055,T004,20200830,2376.0,64.3,2072.56
I00056,T005,20220131,2509.05,22.4,2496.63
I00057,T004,20230519,1293.89,49.7,817.02
I00058,T002,20200214,797.27,70.8,1346.9
I00059,T002,20231119,1487.02,57.7,2060.29
I00060,T003,20230808,2410.37,84.7,2481.87
I00061,T004,20200813,2102.48,54.4,1793.34
I00062,T002,20240618,2050.75,84.6,811.04
I00063,T004,20231116,2148.65,37.0,692.69
I00064,T001,20200519,2865.36,27.3,818.27
I00065,T004,20220121,2931.17,54.2,2331.85
I00066,T005,20230918,2813.3,50.8,1758.78
I00067,T005,20240422,1212.02,80.6,870.52
I00068,T002,20200711,1913.31,94.9,1488.11
I00069,T002,20210801,2143.11,88.1,1576.99
I00070,T005,20220219,2367.93,79.2,1156.7
I00071,T001,20210116,2407.36,71.3,1749.91
I00072,T003,20240918,2514.68,26.4,2114.39
I00073,T005,20200120,2018.3,83.5,1223.29
I00074,T004,20201215,2554.69,96.5,1401.83
I00075,T001,20230909,1222.59,23.9,1618.36
I00076,T004,20201129,1200.22,71.6,2415.5
I00077,T004,20230624,1840.02,14.1,891.04
I00078,T003,20230618,2996.96,71.9,2287.03
I00079,T003,20220918,1296.25,47.3,1926.45
I00080,T002,20210819,2362.46,99.2,2148.75
I00081,T001,20200104,1388.35,13.4,528.1
I00082,T002,20220202,852.87,36.6,1523.1
I00083,T005,20210817,1410.45,64.9,859.75
I00084,T002,20210722,2043.6,57.2,1181.19
I00085,T002,20230112,784.4,69.5,1738.66
I00086,T004,20221101,1898.84,50.6,1012.25
I00087,T002,20200128,2481.97,96.2,1794.86
I00088,T003,20230520,2498.7,39.9,2480.66
I00089,T002,20240119,2197.72,84.3,907.85
I00090,T005,20241027,1081.47,17.7,520.97
I00091,T004,20220407,1586.73,47.1,759.93
I00092,T001,20240918,2040.31,59.6,1361.13
